,PHQ_score,baseline_phq_score,sleep_efficiency,WASO_min,steps,sedentary_min,avg_hrv,resting_hr,time_at_home,location_entropy,night_screen_time,screen_time,unique_contacts,calls_total,gps_missing_pct,hr_missing_pct
PHQ_score,1.0,0.7450430589450876,-0.6686805749085637,0.5560659024816025,-0.3774103899145451,0.6006152201859517,-0.5591395289660703,0.44052733029199387,0.3419662695142515,-0.5877554039142401,0.7442192012278738,0.36087476832026794,-0.3573249502968454,-0.20678857268975748,0.20118077460934783,0.2152811325672064
baseline_phq_score,0.7450430589450876,1.0,-0.5260535817822989,0.4327887686576945,-0.011513250799901235,0.25298853711507774,-0.28116273411808007,0.24160317447077675,0.2704882085159866,-0.208378630752183,0.6000123815887652,0.280369106491974,-0.2146140252291427,-0.12370565368950018,0.1378647297441742,0.15021857628367197
sleep_efficiency,-0.6686805749085637,-0.5260535817822989,1.0,-0.4941702897110995,0.2774009312306269,-0.45529164542310996,0.41249955842567565,-0.33890882351840507,-0.24772631974272186,0.42723756979790467,-0.6087069330189513,-0.27941985163844174,0.26146467357959746,0.15903010033583415,-0.14560803034552647,-0.15728647282728744
WASO_min,0.5560659024816025,0.4327887686576945,-0.4941702897110995,1.0,-0.2275263775958841,0.3641775600123394,-0.33586267288631305,0.27026070368391175,0.2238839121333608,-0.34611783672080326,0.5141820684411548,0.24239493583780208,-0.211299027547883,-0.12534372314286957,0.13656335584119664,0.14541893464344846
steps,-0.3774103899145451,-0.011513250799901235,0.2774009312306269,-0.2275263775958841,1.0,-0.5303750852139156,0.43851467598139937,-0.32934706850500917,-0.15190408425063406,0.5353961796807767,-0.2774764104775688,-0.17997947604142764,0.22123465846323948,0.14311927499821994,-0.07806524545518552,-0.07640433749740683
sedentary_min,0.6006152201859517,0.25298853711507774,-0.45529164542310996,0.3641775600123394,-0.5303750852139156,1.0,-0.5435740940938085,0.42052868740791477,0.23318411525573726,-0.6246279803251837,0.4675581803461194,0.2715187781792869,-0.3040682578972379,-0.1869882894378247,0.14363438944734253,0.14115723698031366
avg_hrv,-0.5591395289660703,-0.28116273411808007,0.41249955842567565,-0.33586267288631305,0.43851467598139937,-0.5435740940938085,1.0,-0.3666089133179213,-0.21172893894208888,0.5268884441639146,-0.4310239150844486,-0.24333446249276636,0.2659795305482112,0.16013110695359103,-0.11545170553779163,-0.11742225533817845
resting_hr,0.44052733029199387,0.24160317447077675,-0.33890882351840507,0.27026070368391175,-0.32934706850500917,0.42052868740791477,-0.3666089133179213,1.0,0.17673792095709168,-0.4152783634743832,0.35290038304206595,0.19575076422068566,-0.2138186507012826,-0.124607319890107,0.10815290860319846,0.10655782618417288
time_at_home,0.3419662695142515,0.2704882085159866,-0.24772631974272186,0.2238839121333608,-0.15190408425063406,0.23318411525573726,-0.21172893894208888,0.17673792095709168,1.0,-0.2619827016915545,0.2889043471072312,0.15333808725790984,-0.1806454329417411,-0.11504274570075729,0.11143848353194227,0.1166382096497019
location_entropy,-0.5877554039142401,-0.208378630752183,0.42723756979790467,-0.34611783672080326,0.5353961796807767,-0.6246279803251837,0.5268884441639146,-0.4152783634743832,-0.2619827016915545,1.0,-0.4411994281054406,-0.25620325669403354,0.3581375379185494,0.225454208428898,-0.13988387390898452,-0.13540234366092296
night_screen_time,0.7442192012278738,0.6000123815887652,-0.6087069330189513,0.5141820684411548,-0.2774764104775688,0.4675581803461194,-0.4310239150844486,0.35290038304206595,0.2889043471072312,-0.4411994281054406,1.0,0.33088376528915403,-0.2875224208609437,-0.16773857801083594,0.18150871975344438,0.1881727673791992
screen_time,0.36087476832026794,0.280369106491974,-0.27941985163844174,0.24239493583780208,-0.17997947604142764,0.2715187781792869,-0.24333446249276636,0.19575076422068566,0.15333808725790984,-0.25620325669403354,0.33088376528915403,1.0,-0.1591459905105479,-0.09745788321634925,0.119625574454766,0.11898260145201306
unique_contacts,-0.3573249502968454,-0.2146140252291427,0.26146467357959746,-0.211299027547883,0.22123465846323948,-0.3040682578972379,0.2659795305482112,-0.2138186507012826,-0.1806454329417411,0.3581375379185494,-0.2875224208609437,-0.1591459905105479,1.0,0.14343319914020125,-0.10836483774619071,-0.10410497243832305
calls_total,-0.20678857268975748,-0.12370565368950018,0.15903010033583415,-0.12534372314286957,0.14311927499821994,-0.1869882894378247,0.16013110695359103,-0.124607319890107,-0.11504274570075729,0.225454208428898,-0.16773857801083594,-0.09745788321634925,0.14343319914020125,1.0,-0.06287720032637445,-0.05884179962610771
gps_missing_pct,0.20118077460934783,0.1378647297441742,-0.14560803034552647,0.13656335584119664,-0.07806524545518552,0.14363438944734253,-0.11545170553779163,0.10815290860319846,0.11143848353194227,-0.13988387390898452,0.18150871975344438,0.119625574454766,-0.10836483774619071,-0.06287720032637445,1.0,0.5323670229883156
hr_missing_pct,0.2152811325672064,0.15021857628367197,-0.15728647282728744,0.14541893464344846,-0.07640433749740683,0.14115723698031366,-0.11742225533817845,0.10655782618417288,0.1166382096497019,-0.13540234366092296,0.1881727673791992,0.11898260145201306,-0.10410497243832305,-0.05884179962610771,0.5323670229883156,1.0
