trajectory_group,week,mean,std,count,median,standard_error
delayed_responder,0,14.954822335025382,4.458487399580138,1379,14.7,0.12006195491613854
delayed_responder,2,14.485279187817259,4.324842268113202,1379,14.4,0.11646304472286186
delayed_responder,4,13.393401015228426,4.433690612234998,1379,13.0,0.11939420585743815
delayed_responder,6,11.17715736040609,4.444210733055541,1379,10.8,0.1196775006519434
delayed_responder,8,8.159390862944162,4.37942526667811,1379,7.9,0.11793290230584051
delayed_responder,10,5.826395939086295,3.9969308969423873,1379,5.8,0.1076327673813341
delayed_responder,12,3.867005076142132,3.7517040570395146,197,3.0,0.2672978464917377
early_responder,0,14.674042553191489,3.8098445933448146,1645,14.9,0.09393432299612779
early_responder,2,12.379999999999999,3.9019968061783143,1645,12.7,0.09620639880211498
early_responder,4,9.522978723404254,3.7674776330435944,1645,9.8,0.09288973662631868
early_responder,6,7.37531914893617,3.7941799742868136,1645,7.5,0.09354810110435405
early_responder,8,5.89531914893617,3.5854204263215057,1645,6.0,0.088400991733711
early_responder,10,4.673617021276596,3.2532460842029183,1645,4.8,0.08021100624241313
early_responder,12,3.6778723404255316,2.988099570540187,235,3.4,0.19492212349422985
non_responder,0,14.99065934065934,4.205792105163652,1274,14.2,0.11783195612276888
non_responder,2,14.974725274725275,4.280932546452817,1274,14.4,0.11993713511394156
non_responder,4,14.635714285714286,4.268785938144835,1274,14.45,0.1195968285601703
non_responder,6,14.319230769230769,4.2800197896696375,1274,13.55,0.11991156278070751
non_responder,8,13.876373626373626,4.380356677696961,1274,13.45,0.12272266030809484
non_responder,10,13.131868131868131,4.2438242319194455,1274,12.8,0.11889748665283056
non_responder,12,11.803846153846155,4.310918495465106,182,11.05,0.3195465388945212
partial_responder,0,15.295744680851064,3.9028804489145514,1645,14.9,0.09622818561786696
partial_responder,2,14.64468085106383,3.8313587920076335,1645,14.5,0.09446477027204196
partial_responder,4,13.625106382978723,3.7513414556366347,1645,13.2,0.09249188814107706
partial_responder,6,12.464255319148936,3.963914035981461,1645,12.2,0.09773301043176363
partial_responder,8,11.103829787234043,3.8744174565919316,1645,10.8,0.09552641108382436
partial_responder,10,9.57191489361702,3.884749525198646,1645,9.2,0.09578115529869775
partial_responder,12,7.749787234042554,3.729478028463715,235,7.4,0.24328432158028857
unstable_responder,0,14.626490066225166,4.175349091527895,1057,14.7,0.1284266925548202
unstable_responder,2,13.29337748344371,4.184625725722536,1057,13.3,0.1287120261692181
unstable_responder,4,11.127152317880794,4.212669240426956,1057,10.8,0.12957459736078838
unstable_responder,6,12.004635761589403,4.239747804281438,1057,11.9,0.13040748829247648
unstable_responder,8,10.074172185430463,4.031408988016153,1057,10.0,0.12399933785589921
unstable_responder,10,10.835099337748344,4.0343304021981075,1057,11.2,0.12408919562653029
unstable_responder,12,8.663576158940398,3.7561945892744273,151,8.5,0.30567478056502045
