dataset,variable,missing_count,missing_pct,non_missing_count
clinical_assessments,treatment_review_decision,4000,57.14285714285714,3000
clinical_assessments,participant_id,0,0.0,7000
clinical_assessments,assessment_date,0,0.0,7000
clinical_assessments,week,0,0.0,7000
clinical_assessments,PHQ_score,0,0.0,7000
clinical_assessments,change_from_baseline,0,0.0,7000
clinical_assessments,percent_change_from_baseline,0,0.0,7000
clinical_assessments,response_status,0,0.0,7000
clinical_assessments,remission_status,0,0.0,7000
clinical_assessments,worsening_status,0,0.0,7000
clinical_assessments,trajectory_group,0,0.0,7000
clinical_assessments,life_event_in_prior_7d,0,0.0,7000
daily_data,therapy_adherence,25755,30.3,59245
daily_data,med_adherence,20910,24.6,64090
daily_data,sleep_efficiency,1,0.0011764705882352942,84999
daily_data,WASO_min,1,0.0011764705882352942,84999
daily_data,participant_id,0,0.0,85000
daily_data,date,0,0.0,85000
daily_data,study_day,0,0.0,85000
daily_data,week,0,0.0,85000
daily_data,day_of_week,0,0.0,85000
daily_data,is_weekend,0,0.0,85000
daily_data,life_event_flag,0,0.0,85000
daily_data,ema_anhedonia,0,0.0,85000
daily_data,ema_energy,0,0.0,85000
daily_data,ema_stress,0,0.0,85000
daily_data,avg_hrv,0,0.0,85000
daily_data,resting_hr,0,0.0,85000
daily_data,steps,0,0.0,85000
daily_data,sedentary_min,0,0.0,85000
daily_data,time_at_home,0,0.0,85000
daily_data,location_entropy,0,0.0,85000
daily_data,distance_traveled_km,0,0.0,85000
daily_data,bedtime_variability_min,0,0.0,85000
daily_data,wake_variability_min,0,0.0,85000
daily_data,screen_time,0,0.0,85000
daily_data,night_screen_time,0,0.0,85000
daily_data,app_sessions_total,0,0.0,85000
daily_data,app_sessions_social,0,0.0,85000
daily_data,unique_contacts,0,0.0,85000
daily_data,calls_total,0,0.0,85000
daily_data,call_duration_min,0,0.0,85000
daily_data,overall_adherence,0,0.0,85000
daily_data,gps_missing_pct,0,0.0,85000
daily_data,hr_missing_pct,0,0.0,85000
daily_data,gps_outage_flag,0,0.0,85000
daily_data,wearable_nonwear_flag,0,0.0,85000
daily_data,passive_dropout_flag,0,0.0,85000
final_outcomes,time_to_response_weeks,409,40.9,591
final_outcomes,participant_id,0,0.0,1000
final_outcomes,final_week12_PHQ_score,0,0.0,1000
final_outcomes,final_change_from_baseline,0,0.0,1000
final_outcomes,final_percent_change_from_baseline,0,0.0,1000
final_outcomes,final_response_status,0,0.0,1000
final_outcomes,final_remission_status,0,0.0,1000
final_outcomes,final_worsening_status,0,0.0,1000
final_outcomes,week12_treatment_review_decision,0,0.0,1000
final_outcomes,sustained_improvement_flag,0,0.0,1000
final_outcomes,trajectory_group_derived,0,0.0,1000
participants,time_to_response_weeks,409,40.9,591
participants,participant_id,0,0.0,1000
participants,age,0,0.0,1000
participants,sex,0,0.0,1000
participants,ethnicity,0,0.0,1000
participants,site_region,0,0.0,1000
participants,time_zone,0,0.0,1000
participants,device_phone_os,0,0.0,1000
participants,wearable_type,0,0.0,1000
participants,baseline_phq_score,0,0.0,1000
participants,initial_severity_group,0,0.0,1000
participants,adherence_risk_profile,0,0.0,1000
participants,treatment_type,0,0.0,1000
participants,treatment_start_date,0,0.0,1000
participants,final_week12_PHQ_score,0,0.0,1000
participants,final_change_from_baseline,0,0.0,1000
participants,final_percent_change_from_baseline,0,0.0,1000
participants,final_response_status,0,0.0,1000
participants,final_remission_status,0,0.0,1000
participants,final_worsening_status,0,0.0,1000
participants,week12_treatment_review_decision,0,0.0,1000
participants,sustained_improvement_flag,0,0.0,1000
participants,trajectory_group_derived,0,0.0,1000
weekly_summary,week,0,0.0,13
weekly_summary,mean,0,0.0,13
weekly_summary,std,0,0.0,13
weekly_summary,count,0,0.0,13
weekly_summary,standard_error,0,0.0,13
